Contiguous U.S., Average Temperature, April
Units: Degrees Fahrenheit
Missing: -99
Date,Value
199004,52.52
199104,52.54
199204,52.54
199304,49.91
199404,52.66
199504,49.41
199604,50.65
199704,47.91
199804,51.06
199904,51.55
200004,52.59
200104,53.08
200204,53.49
200304,51.89
200404,52.68
200504,52.27
200604,55.26
200704,50.54
200804,50.40
200904,50.92
201004,53.24
201104,51.96
201204,54.68
201304,49.68
201404,51.69
201504,53.24
201604,53.19
201704,53.80
201804,49.03
201904,52.84
202004,50.88
202104,51.87
202204,50.67
