Contiguous U.S., Average Temperature, October
Units: Degrees Fahrenheit
Missing: -99
Date,Value
199010,53.98
199110,54.75
199210,54.54
199310,52.97
199410,54.21
199510,54.45
199610,53.65
199710,53.92
199810,55.13
199910,54.75
200010,55.09
200110,54.37
200210,51.84
200310,56.55
200410,55.36
200510,55.38
200610,52.59
200710,56.68
200810,53.98
200910,50.50
201010,56.14
201110,55.09
201210,53.89
201310,53.44
201410,56.93
201510,57.24
201610,57.72
201710,55.69
201810,53.71
201910,52.05
202010,54.28
202110,56.97
